16:29:53.398 > ESP-ROM:esp32s3-20210327
16:29:53.401 > Build:Mar 27 2021
16:29:53.401 > rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
16:29:53.411 > SPIWP:0xee
16:29:53.411 > mode:DIO, clock div:1
16:29:53.411 > load:0x3fce2820,len:0x10cc
16:29:53.417 > load:0x403c8700,len:0xc2c
16:29:53.417 > load:0x403cb700,len:0x30c0
16:29:53.417 > entry 0x403c88b8
16:29:53.612 > W5500-Sniffer running...
16:29:53.647 > [    54][I][main.cpp:61] ethEventHandler(): Ethernet Started
16:29:55.653 > [  2054][I][main.cpp:55] ethEventHandler(): Ethernet Link Up
16:30:00.025 > Eth packet: len= 144 Dst=ff:ff:ff:ff:ff:ff Src=b8:27:eb:9c:a2:8e Type=0x0800 (IPv4, broadcast)
16:30:00.032 > Eth packet: len= 144 Dst=ff:ff:ff:ff:ff:ff Src=b8:27:eb:9c:a2:8e Type=0x0800 (IPv4, broadcast)
16:30:00.043 > Eth packet: len= 144 Dst=ff:ff:ff:ff:ff:ff Src=b8:27:eb:9c:a2:8e Type=0x0800 (IPv4, broadcast)
16:30:01.048 > Eth packet: len= 144 Dst=ff:ff:ff:ff:ff:ff Src=b8:27:eb:9c:a2:8e Type=0x0800 (IPv4, broadcast)
16:30:01.058 > Eth packet: len= 144 Dst=ff:ff:ff:ff:ff:ff Src=b8:27:eb:9c:a2:8e Type=0x0800 (IPv4, broadcast)
16:30:01.470 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=a0:b5:49:5c:48:70 Type=0x887b (Homeplug 1.0, broadcast)
16:30:01.484 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=a0:b5:49:5c:48:71 Type=0x8100 (802.1Q VLAN tagging, broadcast)
16:30:01.557 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=f0:77:c3:e6:a3:a2 Type=0x0806 (ARP, broadcast)
16:30:01.756 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=24:5e:be:4a:c3:87 Type=0x8874 (BRDCM switch mngmt, broadcast)
16:30:01.762 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=24:5e:be:4a:c3:87 Type=0x8874 (BRDCM switch mngmt, broadcast)
16:30:01.915 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=d8:ec:e5:79:fa:03 Type=0x8899 (Realtek RCP, broadcast)
16:30:01.921 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=d8:ec:e5:79:fa:03 Type=0x8899 (Realtek RCP, broadcast)
16:30:03.791 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=24:5e:be:4a:c3:87 Type=0x8874 (BRDCM switch mngmt, broadcast)
16:30:03.797 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=24:5e:be:4a:c3:87 Type=0x8874 (BRDCM switch mngmt, broadcast)
16:30:04.915 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=d8:ec:e5:79:fa:03 Type=0x8899 (Realtek RCP, broadcast)
16:30:04.915 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=d8:ec:e5:79:fa:03 Type=0x8899 (Realtek RCP, broadcast)
16:30:05.814 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=24:5e:be:4a:c3:87 Type=0x8874 (BRDCM switch mngmt, broadcast)
16:30:05.834 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=24:5e:be:4a:c3:87 Type=0x8874 (BRDCM switch mngmt, broadcast)
16:30:06.134 > Eth packet: len=  88 Dst=01:00:5e:00:00:fb Src=a0:b5:49:5c:48:70 Type=0x0800 (IPv4, IANA Multicast)
16:30:06.140 > Eth packet: len=  92 Dst=01:00:5e:00:00:fb Src=a0:b5:49:5c:48:71 Type=0x8100 (802.1Q VLAN tagging, IANA Multicast)
16:30:06.151 > Eth packet: len=  92 Dst=01:00:5e:00:00:fb Src=a0:b5:49:5c:48:70 Type=0x8100 (802.1Q VLAN tagging, IANA Multicast)
16:30:06.490 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=a0:b5:49:5c:48:70 Type=0x0806 (ARP, broadcast)
16:30:06.495 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=a0:b5:49:5c:48:71 Type=0x8100 (802.1Q VLAN tagging, broadcast)
16:30:06.523 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=a0:b5:49:5c:48:70 Type=0x0806 (ARP, broadcast)
16:30:06.526 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=a0:b5:49:5c:48:71 Type=0x8100 (802.1Q VLAN tagging, broadcast)
16:30:06.765 > Eth packet: len= 130 Dst=33:33:00:00:00:16 Src=94:db:56:24:13:8e Type=0x86dd (IPv6, multicast)
16:30:07.490 > Eth packet: len= 189 Dst=01:00:5e:00:00:fb Src=94:db:56:24:13:8e Type=0x0800 (IPv4, IANA Multicast)
16:30:07.496 > Eth packet: len= 209 Dst=33:33:00:00:00:fb Src=94:db:56:24:13:8e Type=0x86dd (IPv6, multicast)
16:30:07.740 > Eth packet: len= 189 Dst=01:00:5e:00:00:fb Src=94:db:56:24:13:8e Type=0x0800 (IPv4, IANA Multicast)
16:30:07.745 > Eth packet: len= 209 Dst=33:33:00:00:00:fb Src=94:db:56:24:13:8e Type=0x86dd (IPv6, multicast)
16:30:07.799 > Eth packet: len= 130 Dst=33:33:00:00:00:16 Src=94:db:56:24:13:8e Type=0x86dd (IPv6, multicast)
16:30:07.850 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=24:5e:be:4a:c3:87 Type=0x8874 (BRDCM switch mngmt, broadcast)
16:30:07.867 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=24:5e:be:4a:c3:87 Type=0x8874 (BRDCM switch mngmt, broadcast)
16:30:07.880 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=a0:b5:49:5c:48:70 Type=0x88e1 (Homeplug Green PHY, broadcast)
